Location, Openings
London,139
New York,106
Seattle,76
Berlin,56
San Francisco,55
Amsterdam,37
Hamburg,32
Chicago,24
Stockholm,21
Boston,18
Cupertino,16
Cambridge,15
Munich,14
Toronto,13
Kirkland,12
Paris,11
Cape Town,10
Copenhagen,10
Brighton,9
M,9
Cologne,9
Los Angeles,8
Portland,8
Greater London,8
Frankfurt,8
Manchester,8
Bristol,8
Budapest,8
Palo Alto,7
Dublin,7
Gothenburg,7
Austin,7
Rotterdam,7
Helsinki,6
Sofia,6
Atlanta,6
Warsaw,6
Oxford,6
Dubai,6
Lodz,6
San Diego,6
Utrecht,6
Sydney,6
Philadelphia,6
Zurich,5
Mississauga,4
Montreal,4
Krakow,4
Houston,4
Maidstone,4
Redlands,4
Boulder,4
Dorking,4
Edinburgh,4
Tallinn,4
Arlington,4
Warrington,4
Reading,4
Newcastle upon Tyne,3
Dallas,3
Las Vegas,3
Melbourne,3
Minneapolis,3
Karlsruhe,3
Lausanne,3
Raleigh,3
San Luis Obispo,3
Sevres,3
Dresden,3
Singapore,3
Berkeley,3
Belfast,3
Durham,3
Surrey,3
Barcelona,3
Geneva,3
Washington,3
Gateshead,3
Eindhoven,3
Espoo,2
Zephyr Cove,2
Wroclaw,2
Windsor,2
Wiesbaden,2
West Palm Beach,2
West Bridgford,2
Alkmaar,2
Alpharetta,2
Waltham,2
Vienna,2
Union Square,2
The Hague,2
Bangkok,2
St,2
Solingen,2
Bellevue,2
Bluffton,2
Grenoble,2
San Jose,2
San Bruno,2
